tt2096673,Inside Out,7.922,19463,FALSE,"Growing up can be a bumpy road, and its no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Rileys guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Rileys mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",107.292,857611174,175000000
tt1049413,Up,7.949,18857,FALSE,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",90.968,735099082,175000000
tt0266543,Finding Nemo,7.824,18061,FALSE,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentists office aquarium. Its up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",55.456,940335536,94000000
tt2380307,Coco,8.222,17742,FALSE,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguels family history.",166.578,800526015,175000000
tt0910970,WALL·E,8.078,17446,FALSE,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planets future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",58.517,521311860,180000000
tt0198781,"Monsters, Inc.",7.835,17189,FALSE,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, its the monsters who are scared silly, and its up to Sulley and Mike to keep her out of sight and get her back home.",86.936,579707738,115000000
tt0114709,Toy Story,7.971,17152,FALSE,"Led by Woody, Andys toys live happily in his room until Andys birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andys heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",78.404,394400000,30000000
tt0110357,The Lion King,8.256,16991,FALSE,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",87.384,763455561,45000000
tt0317705,The Incredibles,7.704,16584,FALSE,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, its time to get back into costume.",62.609,631442092,92000000
tt0126029,Shrek,7.73,15765,FALSE,"It aint easy bein green -- especially if youre a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",94.456,487853320,60000000
